PLANT_ID,LIBRARY,GENETIC_SUBPOP_KINSHIP,SUBPOP,ECOTYPE_NNET,PLOIDY,COLLECTION_TYPE,COLLECTION_METHOD,COLLECTOR,STATE,COUNTY,LATITUDE,LONGITUDE,ELEVATION,NOTE_LATLONG,LOCALITY,TAXON,HABITAT,COLL_DATE,PLANTED_2018
J186.A,IELR,Atlantic,Atlantic,Coastal,4X,Natural Collection,Grown from GRIN Seed Packet In Austin,T. Juenger,Florida,Wakulla,29.98583333,-84.38666667,1,"NA","Collected at site previously documented by Natural Resources Conservation Service, Brooksville Plant Material Center (collection number 9060504). 1.3 miles N on US 98 from Wakulla/Franklin county line on east side of road, Wakulla County",Panicum virgatum,"Muck soil; full sun. Site: Alongside marsh growing in edge of water. Vegetation: wax myrtle, sawgrass, pines, rushes.",2009-09-16,Y
J188.A,IGPC,Gulf,Gulf,Coastal,4X,Natural Collection,Grown from GRIN Seed Packet In Austin,T. Juenger,Florida,Gulf,29.68555556,-85.36888889,1,"NA","CR 30E on way to St. Joseph Peninsula State Park on east side of road, Gulf County",Panicum virgatum,"Sandy soil; full sun, 5% slope. Site: At edge of marsh across road from beach under power line. Vegetation: palm, bermudagrass, muhly, spartina.",2009-09-16,Y
J190.A,AOSUO,Gulf,Gulf,Lowland,4X,Natural Collection,Grown from GRIN Seed Packet In Austin,T. Juenger,Florida,Santa Rosa,30.32916667,-86.15333333,3,"NA","Collected at site previously documented by Natural Resources Conservation Service, Brooksville Plant Material Center (collection number 9060501). Campground area at Grayton Beach State Park, Santa Rosa County",Panicum virgatum,"Clay/Sand soil; partial shade, % slope. Site: Along edges of campground in pine scrub thicket and in back of campground area around lake. Vegetation: pines, palmettos, hardwoods.",2009-09-18,Y
J191.A,IGPW,Gulf,Gulf,Coastal,4X,Natural Collection,Grown from GRIN Seed Packet In Austin,T. Juenger,Florida,Santa Rosa,30.53916667,-87.04972222,7,"NA","Collected at site previously documented by NRCS, Brooksville Plant Material Center (coll. number 9060497). Just south on CR 191 from Interstate 10 on west side of road; 2.4 miles S on CR 191 from I-10 on east side of road, Santa Rosa County",Panicum virgatum,"NA",NA,Y
J192.A,IEYL,Atlantic,Atlantic,Coastal,4X,Natural Collection,Grown from GRIN Seed Packet In Austin,T. Juenger,North Carolina,Columbus,34.05861667,-78.6312,8,"NA",Columbus County. Vicinity of 13704 Seven Creeks Highway (Highway 905) Right of Way,Panicum virgatum,"In wet ditch area along right of way. Associated vegetation: weedy area, pines, hardwoods, bahiagrass, cat tails.",2012-09-18,Y
J193.A,IELT,Atlantic,Atlantic,Coastal,4X,Natural Collection,Grown from GRIN Seed Packet In Austin,T. Juenger,North Carolina,Columbus,34.32108333,-78.41128333,19,"NA","Columbus County. Vicinity of 15123 Sam Potts Highway (Highway 214) Right of Way on south side of road, Bolton, North Carolina",Panicum virgatum,"In wet ditch area along right of way. Associated vegetation: weedy area, pines.",2012-09-18,Y
J204.A,IHZX,Atlantic,Atlantic,Coastal,4X,Natural Collection,Grown from GRIN Seed Packet In Austin,T. Juenger,North Carolina,Onslow,34.706067,-77.648133,21,"NA","Onslow County, Hwy 53, 1.3 miles west of Onslow/Pender county line",Panicum virgatum,"6 plants found, 15m2 site size, weedy edge of mown ditch by power line right of way",2011-11-26,Y
J205.A,IELW,Atlantic,Atlantic,Coastal,4X,Natural Collection,Grown from GRIN Seed Packet In Austin,T. Juenger,North Carolina,Pender,34.630017,-77.773433,5,"NA","Pender County, 10808 Hwy 53 E, Maple Hill, NC",Panicum virgatum,"3 plants found, 5m2 site size, open roadside under power lines",2011-12-27,Y
J206.A,INIR,Gulf,Gulf,Lowland,4X,Cultivar,Grown from GRIN Seed Packet In Austin,T. Juenger,Texas,Live Oak ,28.3325,-98.117505,48,"NA",Derived From Alamo,Panicum virgatum,"NA",2014-03-25,Y
J208.A,IELX,Atlantic,Atlantic,Upland,4X,Breeding Selection,Grown from GRIN Seed Packet In Austin,T. Juenger,North Carolina,Scotland,34.84512,-79.470389,NA,GPS estimated using passport data,"Beltsville Nursery selection. Reproduced at National Plant Materials Center. Selections from combined seed of BN-10996 and BN-10997 (Scotland County, N. C).",Panicum virgatum var. cubense,"NA",1966-06-29,Y
J208.B,IHWH,Atlantic,Atlantic,Coastal,4X,Breeding Selection,"Dug up from established common garden at the Noble Foundataion in Ardmore, OK",Noble,North Carolina,Scotland,34.84512,-79.470389,NA,GPS estimated using passport data,"Beltsville Nursery selection. Reproduced at National Plant Materials Center. Selections from combined seed of BN-10996 and BN-10997 (Scotland County, N. C).",Panicum virgatum var. cubense,"NA",1966-06-29,Y
J208.C,IHXB,Atlantic,Atlantic,Coastal,4X,Breeding Selection,"Dug up from established common garden at the Noble Foundataion in Ardmore, OK",Noble,North Carolina,Scotland,34.84512,-79.470389,NA,GPS estimated using passport data,"Beltsville Nursery selection. Reproduced at National Plant Materials Center. Selections from combined seed of BN-10996 and BN-10997 (Scotland County, N. C).",Panicum virgatum var. cubense,"NA",1966-06-29,Y
J209.A,INHN,Gulf,Gulf,Unknown,4X,Natural Collection,Rhizome Plug Dug from Single Indvidual in a Natural Population,D. Lowry/T. Quedensley,Texas,Aransas ,28.11,-97.0291,3,"NA",Fulton; Wet roadside ditch,Panicum virgatum,"NA",2006-03-14,Y
J210.A,INHP,Gulf,Gulf,Lowland,4X,Natural Collection,Rhizome Plug Dug from Single Indvidual in a Natural Population,D. Lowry/T. Quedensley,Texas,Val Verde,29.9,-100.992,422,"NA",Devil's River State Park,Panicum virgatum,Dry desert wash,2006-07-17,Y
J211.A,INHQ,Gulf,Gulf,Lowland,4X,Natural Collection,Rhizome Plug Dug from Single Indvidual in a Natural Population,D. Lowry,Louisiana,Calcasieu,30.1,-93.3589,1,"NA",North of Hackberry; Just north of Exxon Station along Hwy 27,Panicum virgatum,"NA",2007-08-26,Y
J212.A,AOSWB,Gulf,Gulf,Lowland,4X,Natural Collection,Rhizome Plug Dug from Single Indvidual in a Natural Population,D. Lowry,Texas,Mills ,31.29,-98.4663,442,"NA",South Mills County; Just over the Mills/Lampasas County line between Lometa and Goldwaite along Hwy 183,Panicum virgatum,"NA",2007-05-20,Y
J215.A,INHS,Gulf,Gulf,Lowland,4X,Natural Collection,Plant Obtained From USDA Collaborators,USDA,Texas,Goliad ,28.65,-97.2522,42,"NA","South of Fanin, TX",Panicum virgatum,"NA",NA,Y
J216.A,INHT,Gulf,Gulf,Lowland,4X,Natural Collection,Rhizome Plug Dug from Single Indvidual in a Natural Population,A. Asmus/C. Purmal/D. Dillon,Texas,Washington ,30.14,-96.3658,7,"NA",Brenham,Panicum virgatum,"NA",2007-06-26,Y
J217.A,AOSWH,Gulf,Gulf,Lowland,4X,Natural Collection,Rhizome Plug Dug from Single Indvidual in a Natural Population,D. Lowry/S. Kirshenbaum,Texas,Kendall,29.99,-98.8184,454,"NA","Waring; North of Waring, TX along the Welfare-Waring Road ",Panicum virgatum,"NA",2007-05-27,Y
J218.A,INHW,Gulf,Gulf,Lowland,4X,Natural Collection,Rhizome Plug Dug from Single Indvidual in a Natural Population,A. Asmus/C. Purmal/D. Dillon/D.Lowry,Texas,Travis ,30.41,-97.8591,304,"NA",Near Oasis; North of the Oasis along Bullick Hallow Road,Panicum virgatum,"NA",2007-06-21,Y
J219.A,INHX,Gulf,Gulf,Lowland,4X,Natural Collection,Plant Obtained From USDA Collaborators,USDA,Texas,Wilson ,29.24,-97.9831,125,"NA","NA",Panicum virgatum,"NA",NA,Y
J220.A,INHY,Gulf,Gulf,Unknown,4X,Natural Collection,Plant Obtained From USDA Collaborators,USDA,Texas,Wilson ,29.27,-98.1844,190,"NA","Along FM 775, just north of Palo Verde Road. Southeast of San Antonio ",Panicum virgatum,"NA",NA,Y
J222.A,INHZ,Gulf,Gulf,Lowland,4X,Natural Collection,Rhizome Plug Dug from Single Indvidual in a Natural Population,A. Asmus/C. Purmal/D. Dillon,Texas,Burleson,30.46,-96.7849,129,"NA",Caldwell,Panicum virgatum,"NA",2007-06-26,Y
J223.A,IRUB,Gulf,Gulf,Lowland,4X,Cultivar,Unknown,"NA",Texas,Live Oak ,28.35,-98.12,37,"NA","Alamo, Near George West",Panicum virgatum,"NA",1977-09-29,Y
J224.A,INIA,Gulf,Gulf,Lowland,4X,Natural Collection,Rhizome Plug Dug from Single Indvidual in a Natural Population,"NA",Texas,La Salle ,28.34,-99.09,123,"NA",La Salle,Panicum virgatum,"NA",NA,Y
J225.A,INIB,Gulf,Gulf,Coastal,4X,Natural Collection,Rhizome Plug Dug from Single Indvidual in a Natural Population,T. Quedensley/H. Giauque,Texas,Kerr,30.05,-99.4499,579,"NA",Brooks Ecolab; 9 miles west of Hunt on FM 1340. North side of Guadalupe River,Panicum virgatum,"NA",2007-05-25,Y
J226.A,INIC,Gulf,Gulf,Lowland,4X,Natural Collection,Rhizome Plug Dug from Single Indvidual in a Natural Population,D. Lowry,Texas,Hood,32.48,-97.9092,286,"NA","Granbury; West of Granbury, TX along Hwy. 4",Panicum virgatum,"NA",2007-05-20,Y
J228.A,INID,Gulf,Gulf,Coastal,4X,Natural Collection,Plant Obtained From USDA Collaborators,USDA,Texas,Aransas ,28.24,-96.8092,3,"NA",Aransas National Wildlife Refuge,Panicum virgatum,"NA",NA,Y
J229.A,INIE,Gulf,Gulf,Lowland,4X,Natural Collection,Rhizome Plug Dug from Single Indvidual in a Natural Population,D. Lowry/S. Kirshenbaum,Texas,Bandera,29.82,-99.5749,552,"NA","Lost Maples State Park; From Sabinal River bed, just south of day use parking lot",Panicum virgatum,"NA",2007-05-27,Y
J230.A,INIF,Gulf,Gulf,Lowland,4X,Natural Collection,Rhizome Plug Dug from Single Indvidual in a Natural Population,D. Lowry/T. Quedensley,Texas,Travis ,30.32,-97.9823,322,"NA",West Bee Caves ,Panicum virgatum,"NA",NA,Y
J231.A,INIG,Gulf,Gulf,Lowland,4X,Natural Collection,Rhizome Plug Dug from Single Indvidual in a Natural Population,T. Quedensley,Texas,Mason ,30.75,-99.22,464,"NA",Double Helix Ranch,Panicum virgatum,"NA",NA,Y
J234.A,INIH,Gulf,Gulf,Coastal,4X,Natural Collection,Rhizome Plug Dug from Single Indvidual in a Natural Population,"NA",Texas,Travis ,30.35,-97.76,237,"NA",Doeskin Tract,Panicum virgatum,"NA",NA,Y
J235.A,INII,Gulf,Gulf,Lowland,4X,Natural Collection,Rhizome Plug Dug from Single Indvidual in a Natural Population,A. Asmus/C. Purmal/D. Dillon,Texas,Brazos ,30.53,-96.2261,75,"NA",College Station,Panicum virgatum,"NA",2007-06-26,Y
J237.A,INIK,Gulf,Gulf,Lowland,4X,Natural Collection,Plant Obtained From USDA Collaborators,USDA,Texas,La Salle ,28.32,-99.1231,106,"NA",Along Holland Dam Road,Panicum virgatum,"NA",NA,Y
J238.A,INIL,Gulf,Gulf,Lowland,4X,Natural Collection,Rhizome Plug Dug from Single Indvidual in a Natural Population,D. Lowry,Texas,Comanche,32.05,-98.6417,366,"NA","Comanche; Between Comanche and De Leon TX along Hwy 16, 100m south of the Sabanna river bridge",Panicum virgatum,"NA",2007-05-20,Y
J240.A,INIM,Gulf,Gulf,Lowland,4X,Natural Collection,Rhizome Plug Dug from Single Indvidual in a Natural Population,D. Lowry/S. Taylor,Texas,Aransas,28.12,-97.2342,3,"NA",Copano Bay; Marshy filed adjacent to Copano Bay. Between Fulton and Rockport,Panicum virgatum,"NA",2006-11-04,Y
J241.A,IRUG,Gulf,Gulf,Coastal,4X,Natural Collection,Rhizome Plug Dug from Single Indvidual in a Natural Population,H. Giauque/T. Quedensley ,Texas,Kerr ,30.29,-99.3969,626,"NA","Smith EcolabÂ ; Collected along river at Smith Ecolab near Ingram, TX",Panicum virgatum,"NA",2007-07-21,Y
J245.A,IRUI,Gulf,Gulf,Lowland,4X,Natural Collection,Rhizome Plug Dug from Single Indvidual in a Natural Population,D. Lowry,Texas,Palo Pinto,32.86,-98.42,266,"NA","Edge of Brazos River, just upstream of the Hwy16 Bridge ",Panicum virgatum,"NA",2007-05-20,Y
J246.A,ININ,Gulf,Gulf,Lowland,4X,Natural Collection,Rhizome Plug Dug from Single Indvidual in a Natural Population,D. Lowry,Texas,Palo Pinto,32.65,-98.2603,253,"NA",Palo Pinto Dam; Just north of turnoff for road to Palo Pinto Dam. Along Hwy. 4 in a stream.,Panicum virgatum,"NA",2007-05-20,Y
J247.A,AOSXW,Gulf,Gulf,Lowland,4X,Natural Collection,Rhizome Plug Dug from Single Indvidual in a Natural Population,D. Lowry,Texas,Burnet ,32.64,-98.26,336,"NA","Liberty Hall; North of Liberty Hall, TX along the side of Hwy 183 ",Panicum virgatum,in lowlying area,2007-05-20,Y
J248.A,AOSXX,Gulf,Gulf,Lowland,4X,Natural Collection,Plant Obtained From USDA Collaborators,USDA,Texas,Kenedy ,26.94,-97.6836,6,"NA","East of Armstrong, TX",Panicum virgatum,"NA",NA,Y
J249.C,IEYZ,Gulf,Gulf,Lowland,4X,Natural Collection,Field Seed Collection From Single Plant,T. Juenger,Texas,Travis ,30.15,-97.69,165,Location Approximate,"NA",Panicum virgatum,"NA",2014-11-15,Y
